"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","2018",1326195.638,
"AUS","GDP","TOT","MLN_USD","A","2019",1341053.276,
"AUS","GDP","TOT","MLN_USD","A","2020",1436700.137,
"AUS","GDP","TOT","MLN_USD","A","2021",1611809.807,
"AUS","GDP","TOT","MLN_USD","A","2022",1804621.816,
"AUT","GDP","TOT","MLN_USD","A","2018",503361.417,
"AUT","GDP","TOT","MLN_USD","A","2019",530139.203,
"AUT","GDP","TOT","MLN_USD","A","2020",510361.633,
"AUT","GDP","TOT","MLN_USD","A","2021",535814.997,
"AUT","GDP","TOT","MLN_USD","A","2022",613714.889,
"BEL","GDP","TOT","MLN_USD","A","2018",600269.926,
"BEL","GDP","TOT","MLN_USD","A","2019",641140.489,
"BEL","GDP","TOT","MLN_USD","A","2020",630920.981,
"BEL","GDP","TOT","MLN_USD","A","2021",689479.057,
"BEL","GDP","TOT","MLN_USD","A","2022",765169.283,"P"
"CAN","GDP","TOT","MLN_USD","A","2018",1852987.755,
"CAN","GDP","TOT","MLN_USD","A","2019",1873760.081,
"CAN","GDP","TOT","MLN_USD","A","2020",1794940.001,
"CAN","GDP","TOT","MLN_USD","A","2021",2026899.115,
"CAN","GDP","TOT","MLN_USD","A","2022",2271469.345,
"CZE","GDP","TOT","MLN_USD","A","2018",437355.916,
"CZE","GDP","TOT","MLN_USD","A","2019",471832.671,
"CZE","GDP","TOT","MLN_USD","A","2020",458157.819,
"CZE","GDP","TOT","MLN_USD","A","2021",479378.76,
"CZE","GDP","TOT","MLN_USD","A","2022",525014.413,
"DNK","GDP","TOT","MLN_USD","A","2018",333035.355,
"DNK","GDP","TOT","MLN_USD","A","2019",348345.911,
"DNK","GDP","TOT","MLN_USD","A","2020",354277.793,
"DNK","GDP","TOT","MLN_USD","A","2021",387053.183,
"DNK","GDP","TOT","MLN_USD","A","2022",442119.714,
"FIN","GDP","TOT","MLN_USD","A","2018",273455.993,
"FIN","GDP","TOT","MLN_USD","A","2019",286082.927,
"FIN","GDP","TOT","MLN_USD","A","2020",289224.32,
"FIN","GDP","TOT","MLN_USD","A","2021",303527.426,
"FIN","GDP","TOT","MLN_USD","A","2022",330422.255,
"FRA","GDP","TOT","MLN_USD","A","2018",3125379.86,
"FRA","GDP","TOT","MLN_USD","A","2019",3403158.941,
"FRA","GDP","TOT","MLN_USD","A","2020",3262896.418,
"FRA","GDP","TOT","MLN_USD","A","2021",3481611.03,"P"
"FRA","GDP","TOT","MLN_USD","A","2022",3764758.779,"P"
"DEU","GDP","TOT","MLN_USD","A","2018",4576056.532,
"DEU","GDP","TOT","MLN_USD","A","2019",4770495.488,"P"
"DEU","GDP","TOT","MLN_USD","A","2020",4694786.155,"P"
"DEU","GDP","TOT","MLN_USD","A","2021",4913166.143,"P"
"DEU","GDP","TOT","MLN_USD","A","2022",5323008.116,"P"
"GRC","GDP","TOT","MLN_USD","A","2018",317881.481,
"GRC","GDP","TOT","MLN_USD","A","2019",334033.617,
"GRC","GDP","TOT","MLN_USD","A","2020",303299.582,
"GRC","GDP","TOT","MLN_USD","A","2021",332695.257,"P"
"GRC","GDP","TOT","MLN_USD","A","2022",386578.919,"P"
"HUN","GDP","TOT","MLN_USD","A","2018",311927.137,
"HUN","GDP","TOT","MLN_USD","A","2019",338526.704,
"HUN","GDP","TOT","MLN_USD","A","2020",333161.834,
"HUN","GDP","TOT","MLN_USD","A","2021",356701.68,
"HUN","GDP","TOT","MLN_USD","A","2022",402509.611,"P"
"ISL","GDP","TOT","MLN_USD","A","2018",20174.854,
"ISL","GDP","TOT","MLN_USD","A","2019",21507.881,
"ISL","GDP","TOT","MLN_USD","A","2020",19912.086,
"ISL","GDP","TOT","MLN_USD","A","2021",21715.673,
"ISL","GDP","TOT","MLN_USD","A","2022",26593.332,
"IRL","GDP","TOT","MLN_USD","A","2018",413324.138,
"IRL","GDP","TOT","MLN_USD","A","2019",442259.298,
"IRL","GDP","TOT","MLN_USD","A","2020",471371.126,
"IRL","GDP","TOT","MLN_USD","A","2021",546184.137,
"IRL","GDP","TOT","MLN_USD","A","2022",650316.274,
"ITA","GDP","TOT","MLN_USD","A","2018",2600326.872,
"ITA","GDP","TOT","MLN_USD","A","2019",2735577.365,
"ITA","GDP","TOT","MLN_USD","A","2020",2564795.429,
"ITA","GDP","TOT","MLN_USD","A","2021",2814257.328,
"ITA","GDP","TOT","MLN_USD","A","2022",3112290.717,
"JPN","GDP","TOT","MLN_USD","A","2018",5344060.937,
"JPN","GDP","TOT","MLN_USD","A","2019",5352898.847,
"JPN","GDP","TOT","MLN_USD","A","2020",5263052.866,
"JPN","GDP","TOT","MLN_USD","A","2021",5383426.681,
"JPN","GDP","TOT","MLN_USD","A","2022",5703678.329,"E"
"KOR","GDP","TOT","MLN_USD","A","2018",2220442.286,
"KOR","GDP","TOT","MLN_USD","A","2019",2247126.568,
"KOR","GDP","TOT","MLN_USD","A","2020",2316806.899,
"KOR","GDP","TOT","MLN_USD","A","2021",2435555.581,
"KOR","GDP","TOT","MLN_USD","A","2022",2598470.913,"P"
"LUX","GDP","TOT","MLN_USD","A","2018",70825.278,
"LUX","GDP","TOT","MLN_USD","A","2019",74184.82,
"LUX","GDP","TOT","MLN_USD","A","2020",75356.892,
"LUX","GDP","TOT","MLN_USD","A","2021",84252.097,
"LUX","GDP","TOT","MLN_USD","A","2022",91837.052,
"MEX","GDP","TOT","MLN_USD","A","2018",2606266.038,
"MEX","GDP","TOT","MLN_USD","A","2019",2601929.224,
"MEX","GDP","TOT","MLN_USD","A","2020",2398621.143,
"MEX","GDP","TOT","MLN_USD","A","2021",2559091.961,"P"
"MEX","GDP","TOT","MLN_USD","A","2022",2838206.859,"P"
"NLD","GDP","TOT","MLN_USD","A","2018",996447.288,
"NLD","GDP","TOT","MLN_USD","A","2019",1044307.685,
"NLD","GDP","TOT","MLN_USD","A","2020",1043402.526,
"NLD","GDP","TOT","MLN_USD","A","2021",1130684.908,
"NLD","GDP","TOT","MLN_USD","A","2022",1254458.771,"P"
"NZL","GDP","TOT","MLN_USD","A","2018",208311.966,
"NZL","GDP","TOT","MLN_USD","A","2019",228165.068,
"NZL","GDP","TOT","MLN_USD","A","2020",231699.786,
"NZL","GDP","TOT","MLN_USD","A","2021",245363.98,
"NZL","GDP","TOT","MLN_USD","A","2022",264787.636,"E"
"NOR","GDP","TOT","MLN_USD","A","2018",373182.531,
"NOR","GDP","TOT","MLN_USD","A","2019",373905.514,
"NOR","GDP","TOT","MLN_USD","A","2020",350366.117,
"NOR","GDP","TOT","MLN_USD","A","2021",442761.845,
"NOR","GDP","TOT","MLN_USD","A","2022",627184.974,
"POL","GDP","TOT","MLN_USD","A","2018",1216240.494,
"POL","GDP","TOT","MLN_USD","A","2019",1327882.052,
"POL","GDP","TOT","MLN_USD","A","2020",1338432.734,
"POL","GDP","TOT","MLN_USD","A","2021",1443514.646,
"POL","GDP","TOT","MLN_USD","A","2022",1625114.218,
"PRT","GDP","TOT","MLN_USD","A","2018",359198.932,
"PRT","GDP","TOT","MLN_USD","A","2019",383670.579,
"PRT","GDP","TOT","MLN_USD","A","2020",359941.428,
"PRT","GDP","TOT","MLN_USD","A","2021",380604.427,
"PRT","GDP","TOT","MLN_USD","A","2022",435778.702,"P"
"SVK","GDP","TOT","MLN_USD","A","2018",170864.165,
"SVK","GDP","TOT","MLN_USD","A","2019",182461.859,
"SVK","GDP","TOT","MLN_USD","A","2020",179720.165,
"SVK","GDP","TOT","MLN_USD","A","2021",187958.995,
"SVK","GDP","TOT","MLN_USD","A","2022",203458.07,
"ESP","GDP","TOT","MLN_USD","A","2018",1905450.021,
"ESP","GDP","TOT","MLN_USD","A","2019",2031924.567,
"ESP","GDP","TOT","MLN_USD","A","2020",1800971.277,
"ESP","GDP","TOT","MLN_USD","A","2021",1952698.504,"P"
"ESP","GDP","TOT","MLN_USD","A","2022",2213649.038,"P"
"SWE","GDP","TOT","MLN_USD","A","2018",544594.071,
"SWE","GDP","TOT","MLN_USD","A","2019",579773.396,
"SWE","GDP","TOT","MLN_USD","A","2020",581247.942,
"SWE","GDP","TOT","MLN_USD","A","2021",629080.783,
"SWE","GDP","TOT","MLN_USD","A","2022",683909.153,
"CHE","GDP","TOT","MLN_USD","A","2018",601868.008,
"CHE","GDP","TOT","MLN_USD","A","2019",623154.669,
"CHE","GDP","TOT","MLN_USD","A","2020",613400.095,
"CHE","GDP","TOT","MLN_USD","A","2021",671828.623,"P"
"CHE","GDP","TOT","MLN_USD","A","2022",742867.762,"P"
"TUR","GDP","TOT","MLN_USD","A","2018",2302309.895,
"TUR","GDP","TOT","MLN_USD","A","2019",2313147.025,
"TUR","GDP","TOT","MLN_USD","A","2020",2332603.593,
"TUR","GDP","TOT","MLN_USD","A","2021",2581588.441,
"TUR","GDP","TOT","MLN_USD","A","2022",3180983.731,"P"
"GBR","GDP","TOT","MLN_USD","A","2018",3129647.768,
"GBR","GDP","TOT","MLN_USD","A","2019",3287761.88,
"GBR","GDP","TOT","MLN_USD","A","2020",3069412.013,
"GBR","GDP","TOT","MLN_USD","A","2021",3375529.345,
"GBR","GDP","TOT","MLN_USD","A","2022",3678729.617,
"USA","GDP","TOT","MLN_USD","A","2018",20533058,
"USA","GDP","TOT","MLN_USD","A","2019",21380976,
"USA","GDP","TOT","MLN_USD","A","2020",21060474,
"USA","GDP","TOT","MLN_USD","A","2021",23315081,
"USA","GDP","TOT","MLN_USD","A","2022",25439700,"E"
"CHL","GDP","TOT","MLN_USD","A","2018",478093.905,
"CHL","GDP","TOT","MLN_USD","A","2019",487414.485,
"CHL","GDP","TOT","MLN_USD","A","2020",481373.694,
"CHL","GDP","TOT","MLN_USD","A","2021",552379.782,
"CHL","GDP","TOT","MLN_USD","A","2022",592205.358,
"COL","GDP","TOT","MLN_USD","A","2018",747103.675,
"COL","GDP","TOT","MLN_USD","A","2019",796590.015,
"COL","GDP","TOT","MLN_USD","A","2020",769209.548,"P"
"COL","GDP","TOT","MLN_USD","A","2021",881190.92,"P"
"COL","GDP","TOT","MLN_USD","A","2022",1051418.088,"E"
"EST","GDP","TOT","MLN_USD","A","2018",48133.366,
"EST","GDP","TOT","MLN_USD","A","2019",51758.554,
"EST","GDP","TOT","MLN_USD","A","2020",52438.777,
"EST","GDP","TOT","MLN_USD","A","2021",57864.708,
"EST","GDP","TOT","MLN_USD","A","2022",62797.084,
"ISR","GDP","TOT","MLN_USD","A","2018",355910.254,
"ISR","GDP","TOT","MLN_USD","A","2019",368048.537,
"ISR","GDP","TOT","MLN_USD","A","2020",369246.186,
"ISR","GDP","TOT","MLN_USD","A","2021",413651.029,
"ISR","GDP","TOT","MLN_USD","A","2022",475531.164,
"SVN","GDP","TOT","MLN_USD","A","2018",80823.475,
"SVN","GDP","TOT","MLN_USD","A","2019",87986.552,
"SVN","GDP","TOT","MLN_USD","A","2020",85974.042,
"SVN","GDP","TOT","MLN_USD","A","2021",92826.649,
"SVN","GDP","TOT","MLN_USD","A","2022",102014.348,
"OECD","GDP","TOT","MLN_USD","A","2018",61252564.491,
"OECD","GDP","TOT","MLN_USD","A","2019",63652479.428,"P"
"OECD","GDP","TOT","MLN_USD","A","2020",62184451.358,"P"
"OECD","GDP","TOT","MLN_USD","A","2021",67622831.961,"E"
"OECD","GDP","TOT","MLN_USD","A","2022",74627691.184,"E"
"LVA","GDP","TOT","MLN_USD","A","2018",59505.491,
"LVA","GDP","TOT","MLN_USD","A","2019",62800.719,
"LVA","GDP","TOT","MLN_USD","A","2020",62367.823,
"LVA","GDP","TOT","MLN_USD","A","2021",65523.038,
"LVA","GDP","TOT","MLN_USD","A","2022",74846.879,
"LTU","GDP","TOT","MLN_USD","A","2018",101910.429,
"LTU","GDP","TOT","MLN_USD","A","2019",111744.68,
"LTU","GDP","TOT","MLN_USD","A","2020",112387.535,
"LTU","GDP","TOT","MLN_USD","A","2021",123376.826,
"LTU","GDP","TOT","MLN_USD","A","2022",138355.938,
"CRI","GDP","TOT","MLN_USD","A","2018",106583.345,
"CRI","GDP","TOT","MLN_USD","A","2019",114952.28,
"CRI","GDP","TOT","MLN_USD","A","2020",111138.964,
"CRI","GDP","TOT","MLN_USD","A","2021",116703.599,"E"
"CRI","GDP","TOT","MLN_USD","A","2022",129120.036,"E"
