"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFRAINVEST","RAIL","EUR","A","2018",4628354860.2345,
"AUS","INFRAINVEST","RAIL","EUR","A","2019",4935197898.948,
"AUS","INFRAINVEST","RAIL","EUR","A","2020",5192724742.8676,
"AUS","INFRAINVEST","RAIL","EUR","A","2021",6750072091.7795,
"AUS","INFRAINVEST","ROAD","EUR","A","2018",14363912675.19,
"AUS","INFRAINVEST","ROAD","EUR","A","2019",13317666734.358,
"AUS","INFRAINVEST","ROAD","EUR","A","2020",12671465384.432,
"AUS","INFRAINVEST","ROAD","EUR","A","2021",13286823655.25,
"AUT","INFRAINVEST","RAIL","EUR","A","2018",1682000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2019",1737000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2020",2002000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2021",2249500000,
"AUT","INFRAINVEST","ROAD","EUR","A","2018",463000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2019",562000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2020",548000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2021",480000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2018",926000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2019",899000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2020",1008252225,
"BEL","INFRAINVEST","RAIL","EUR","A","2021",1137261090.5,
"BEL","INFRAINVEST","ROAD","EUR","A","2018",681000000,"P"
"BEL","INFRAINVEST","ROAD","EUR","A","2019",735000000,"P"
"BEL","INFRAINVEST","ROAD","EUR","A","2020",607000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2021",1311000000,
"CAN","INFRAINVEST","RAIL","EUR","A","2018",1081557966.2789,
"CAN","INFRAINVEST","RAIL","EUR","A","2019",1366359291.9163,"P"
"CAN","INFRAINVEST","ROAD","EUR","A","2018",6431185465.9522,
"CAN","INFRAINVEST","ROAD","EUR","A","2019",7543245608.1308,"P"
"CZE","INFRAINVEST","RAIL","EUR","A","2018",741057048.48478,
"CZE","INFRAINVEST","RAIL","EUR","A","2019",762841938.77631,
"CZE","INFRAINVEST","RAIL","EUR","A","2020",1123320292.5668,
"CZE","INFRAINVEST","RAIL","EUR","A","2021",1448913704.6337,
"CZE","INFRAINVEST","ROAD","EUR","A","2018",1044764478.5537,
"CZE","INFRAINVEST","ROAD","EUR","A","2019",1383064924.5417,
"CZE","INFRAINVEST","ROAD","EUR","A","2020",1640906427.7749,
"CZE","INFRAINVEST","ROAD","EUR","A","2021",1817146778.5455,
"DNK","INFRAINVEST","RAIL","EUR","A","2018",1351365856.2765,
"DNK","INFRAINVEST","ROAD","EUR","A","2018",1083963934.9541,
"FIN","INFRAINVEST","RAIL","EUR","A","2018",491000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2019",462000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2020",684000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2021",606000000,
"FIN","INFRAINVEST","ROAD","EUR","A","2018",1526000000,
"FIN","INFRAINVEST","ROAD","EUR","A","2019",1522000000,
"FIN","INFRAINVEST","ROAD","EUR","A","2020",1444000000,
"FIN","INFRAINVEST","ROAD","EUR","A","2021",1375000000,
"FRA","INFRAINVEST","RAIL","EUR","A","2018",10284883398.641,
"FRA","INFRAINVEST","RAIL","EUR","A","2019",11528382878.599,
"FRA","INFRAINVEST","RAIL","EUR","A","2020",10789379413.357,
"FRA","INFRAINVEST","RAIL","EUR","A","2021",11557639689.032,"P"
