"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2018",17157.920673939,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2019",17814.174307767,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2020",14166.446293918,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2021",8845.1934621669,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2018",304707.07363096,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2019",303545.76721484,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2020",277592.02507965,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2021",275308.57828349,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2018",13204.7,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2019",13350,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2020",7417.005,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2021",8433.154238,
"BEL","PASSTRANSP","RAIL","MLN_PKM","A","2018",10500,"E"
"BEL","PASSTRANSP","RAIL","MLN_PKM","A","2019",10849,
"BEL","PASSTRANSP","RAIL","MLN_PKM","A","2020",7397,
"BEL","PASSTRANSP","RAIL","MLN_PKM","A","2021",6970,
"CAN","PASSTRANSP","RAIL","MLN_PKM","A","2018",1529.93595918,
"CAN","PASSTRANSP","RAIL","MLN_PKM","A","2019",1730.98790616,
"CAN","PASSTRANSP","RAIL","MLN_PKM","A","2020",228.5731925,
"CAN","PASSTRANSP","RAIL","MLN_PKM","A","2021",533.48128806,
"CZE","PASSTRANSP","RAIL","MLN_PKM","A","2018",10286.019,
"CZE","PASSTRANSP","RAIL","MLN_PKM","A","2019",10930.618,
"CZE","PASSTRANSP","RAIL","MLN_PKM","A","2020",6665.141,
"CZE","PASSTRANSP","RAIL","MLN_PKM","A","2021",6820.176,
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2018",88921.4,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2019",91726,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2020",74380,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2021",93335.1325,"E"
"DNK","PASSTRANSP","RAIL","MLN_PKM","A","2018",6560,
"FIN","PASSTRANSP","RAIL","MLN_PKM","A","2018",4534,
"FIN","PASSTRANSP","RAIL","MLN_PKM","A","2019",4924,
"FIN","PASSTRANSP","RAIL","MLN_PKM","A","2020",2820,
"FIN","PASSTRANSP","RAIL","MLN_PKM","A","2021",2903,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2018",74800,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2019",74700,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2020",70900,
"FIN","PASSTRANSP","ROAD","MLN_PKM","A","2021",69600,
"FRA","PASSTRANSP","RAIL","MLN_PKM","A","2018",107873,
"FRA","PASSTRANSP","RAIL","MLN_PKM","A","2019",112309,
"FRA","PASSTRANSP","RAIL","MLN_PKM","A","2020",64816,
"FRA","PASSTRANSP","RAIL","MLN_PKM","A","2021",86419,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2018",898610,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2019",906342,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2020",716575,
"FRA","PASSTRANSP","ROAD","MLN_PKM","A","2021",777509,
"DEU","PASSTRANSP","RAIL","MLN_PKM","A","2018",98170,
"DEU","PASSTRANSP","RAIL","MLN_PKM","A","2019",102026,
"DEU","PASSTRANSP","RAIL","MLN_PKM","A","2020",58822,
"DEU","PASSTRANSP","RAIL","MLN_PKM","A","2021",57533,"P"
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2018",978702,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2019",981452,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2020",831141,
"DEU","PASSTRANSP","ROAD","MLN_PKM","A","2021",836625,"P"
"GRC","PASSTRANSP","RAIL","MLN_PKM","A","2018",1104,
"GRC","PASSTRANSP","RAIL","MLN_PKM","A","2019",1252,
"GRC","PASSTRANSP","RAIL","MLN_PKM","A","2020",640,
"GRC","PASSTRANSP","RAIL","MLN_PKM","A","2021",653,
