"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INFRAMAINT","RAIL","EUR","A","2000",347000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2001",338000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2002",339000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2003",335000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2004",341000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2005",302000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2006",362000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2007",325000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2008",356000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2009",348000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2010",344000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2011",451000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2012",480000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2013",497000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2014",504000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2015",503000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2016",535000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2017",552000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2018",560000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2019",569000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2020",578000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2021",596900000,
"AUT","INFRAMAINT","ROAD","EUR","A","2000",508000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2001",520000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2002",294000000,"B"
"AUT","INFRAMAINT","ROAD","EUR","A","2003",388000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2004",458000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2005",443000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2006",495000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2007",486000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2008",467000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2009",516000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2010",559000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2011",494000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2012",517000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2013",559000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2014",667000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2015",692000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2016",697000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2017",687000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2018",726000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2019",752000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2020",791000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2021",899000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2010",295000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2011",312000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2012",311000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2013",329000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2014",333000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2015",313000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2016",311000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2017",317000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2018",320000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2019",320000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2020",313000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2021",303000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2000",59000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2001",62000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2002",68000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2003",73000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2004",77000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2005",80000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2006",104000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2007",94000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2008",102000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2009",111000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2010",184000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2011",156000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2012",145000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2013",147000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2014",206000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2015",457000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2016",528000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2017",396797000,"P"
"BEL","INFRAMAINT","ROAD","EUR","A","2018",216000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2019",213000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2020",155000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2021",498000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2000",115000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2001",125000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2002",135000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2003",137000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2004",155000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2005",156000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2006",156000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2007",167000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2008",180000000,
